Agency Name,URL,Summary,Acronym,Alias
Governor's Office,https://governor.maryland.gov/,"The Governor's Office, formally known as the Executive Department, serves as the administrative support for the Governor of Maryland, who functions as the state's chief executive. The agency is responsible for overseeing the executive branch of the state government, enforcing state laws, proposing the annual state budget, and appointing officials to various boards, commissions, and judiciary positions. Additionally, the office coordinates policy initiatives, manages intergovernmental relations with federal and local entities, and supports the Governor's role as commander-in-chief of Maryland's military forces.",GOV,Office of the Governor; Executive Department; Governor's Executive Council
Lt. Governor,https://governor.maryland.gov/Pages/biography.aspx,"The Lieutenant Governor of Maryland serves as the second-highest-ranking official in the state's executive branch and is elected on a joint ticket with the Governor. The Office of the Lieutenant Governor does not possess independent statutory powers but performs duties specifically delegated by the Governor, which typically include chairing various task forces, commissions, and advisory councils, such as those related to mental health, STEM equity, and work zone safety. Additionally, the agency manages the Lieutenant Governor's role in representing the state at ceremonial functions, attending cabinet meetings, and preparing to succeed the Governor in the event of a vacancy or inability to serve.",LG,Office of the Lieutenant Governor; Lieutenant Governor's Office; Maryland Lieutenant Governor
Comptroller of Maryland,https://www.marylandtaxes.gov/,"The Comptroller of Maryland functions as the state's chief financial officer and principal tax collector. The agency is responsible for collecting state revenues, including income, sales, and motor fuel taxes, as well as enforcing tax laws and auditing taxpayers. Additionally, the Comptroller regulates the alcohol, tobacco, and motor fuel industries, administers unclaimed property, pays state bills and employees, and serves as a key member of the Board of Public Works, which oversees significant state contracts and expenditures.",,Comptroller of the Treasury; Office of the Comptroller; Maryland Comptroller
Maryland State Treasurer's Office,https://www.treasurer.state.md.us/,"The Maryland State Treasurer's Office acts as the state's chief financial agency, responsible for the management and protection of state funds and property. Its primary duties include receiving, depositing, investing, and distributing state funds, as well as anticipating the state's monetary needs. The Treasurer serves as the principal custodian of cash deposits, bond sale revenue, and other securities. Additionally, the agency manages the state's insurance protection (via the State Insurance Trust Fund), oversees the issuance of State bonds, and administers the Maryland 529 college savings program. The State Treasurer also holds a key position on the Board of Public Works, which approves significant state procurements and contracts.",STO,Office of the State Treasurer; MSTO; Maryland Treasurer's Office; Treasurer of the Western Shore; Treasurer of the Eastern Shore
Office of the Attorney General,https://www.marylandattorneygeneral.gov/,"The Office of the Attorney General (OAG) serves as the chief legal officer and primary legal representative for the State of Maryland. Its responsibilities include providing legal counsel to the Governor, the General Assembly, the Judiciary, and all state agencies, boards, and commissions. The agency enforces state laws regarding consumer protection, antitrust, and securities; prosecutes Medicaid provider fraud; investigates police-involved fatalities; and represents the state in all civil and criminal appeals in state and federal courts.",OAG,State Law Department; Attorney General's Office; Maryland Attorney General
Department of Aging,https://aging.maryland.gov/,"The Maryland Department of Aging (MDoA) is a cabinet-level executive agency dedicated to protecting the rights and improving the quality of life for older adults, people with disabilities, and their caregivers in Maryland. The department oversees a statewide network of local Area Agencies on Aging to administer federal and state programs, providing essential services such as long-term care advocacy, housing assistance, nutrition programs, health promotion, and caregiver support.",MDoA,State Coordinating Commission on the Problems of the Aging; Commission on the Aging; Office on Aging
Department of Agriculture,https://mda.maryland.gov/,"The Maryland Department of Agriculture (MDA) is a cabinet-level executive agency responsible for providing leadership and support to the state's agricultural community and citizens. Established in 1972, it conducts regulatory, service, and educational activities designed to assure consumer confidence, protect environmental resources, and promote the economic viability of farming and agribusiness. The agency oversees a wide range of programs including animal health, food quality assurance, pesticide regulation, soil conservation, and the marketing of local agricultural products.",MDA,Board of Agriculture; Maryland State Board of Agriculture
Department of Budget and Management,https://dbm.maryland.gov/,"The Department of Budget and Management (DBM) is the principal fiscal and personnel agency for the State of Maryland. It is responsible for developing the state's budget, supervising budget execution, estimating revenues, and engaging in long-term fiscal planning to ensure efficiency in state government. Additionally, the department serves as the central personnel agency, managing state employee resources, benefits, and policies.",DBM,Department of Budget and Fiscal Planning; Department of Budget and Procurement
Department of Commerce,https://commerce.maryland.gov/,"The Maryland Department of Commerce is the state's primary economic development agency, tasked with stimulating the economy and creating jobs by attracting new businesses, retaining and expanding existing companies, and promoting Maryland's assets domestically and internationally. The agency provides financial assistance, tax credits, and workforce training programs, while also overseeing tourism, film, and the arts to enhance the state's competitive position in the global marketplace.",,Maryland Department of Business and Economic Development; DBED; Department of Economic and Employment Development; DEED; Department of Economic and Community Development; DECD; Maryland Commerce
Department of Disabilities,https://mdod.maryland.gov/Pages/Home.aspx,"The Maryland Department of Disabilities is the principal state agency responsible for coordinating and improving the delivery of services to Maryland residents with disabilities. The department works collaboratively with all other state agencies to ensure that programs, policies, and services are inclusive and provided in the most integrated settings possible. Its primary areas of focus include advancing accessible housing, employment opportunities, transportation, community living, and assistive technology, as well as supporting youth transitioning into adulthood.",MDOD,Office for the Coordination of Services to the Handicapped; Office for Handicapped Individuals; Office for Individuals with Disabilities
